"admin1","Abduction/forced disappearance","Agreement","Air/drone strike","Armed clash","Arrests","Attack","Change to group/activity","Chemical weapon","Disrupted weapons use","Excessive force against protesters","Government regains territory","Grenade","Headquarters or base established","Looting/property destruction","Mob violence","Non-state actor overtakes territory","Non-violent transfer of territory","Other","Peaceful protest","Protest with intervention","Remote explosive/landmine/IED","Sexual violence","Shelling/artillery/missile attack","Suicide bomb","Violent demonstration"
"Abyan",3,1,72,215,6,41,86,0,18,2,31,1,0,11,2,8,17,5,58,2,96,0,57,6,15
"Ad Dali",26,5,111,761,3,57,59,0,28,2,143,10,1,10,0,13,1,0,11,0,97,0,396,1,4
"Aden",17,6,14,379,13,216,81,0,51,9,12,19,4,42,3,7,14,23,246,8,105,4,16,22,60
"Al Bayda",4,5,230,720,7,41,21,0,53,1,130,0,0,4,0,29,1,4,5,0,148,0,253,4,1
"Al Hudaydah",3,11,1529,1269,9,188,294,1,102,1,46,4,1,43,1,100,10,41,67,1,210,1,4035,0,1
"Al Jawf",1,4,741,907,1,20,3,0,15,0,171,0,0,6,0,3,4,3,12,0,315,0,553,0,0
"Al Mahrah",0,1,1,10,4,10,21,0,5,0,0,2,24,2,1,0,5,3,49,0,0,0,1,0,0
"Al Mahwit",4,1,47,9,3,3,3,0,1,0,0,0,0,1,0,0,0,0,57,0,1,0,0,0,0
"Amanat al Asimah",18,15,747,46,16,61,8,0,16,4,4,3,0,14,4,0,0,25,119,5,10,2,8,0,2
"Amran",4,1,283,12,1,8,1,0,8,0,2,1,0,0,0,0,1,4,11,0,1,0,1,0,0
"Dhamar",5,1,96,24,2,28,0,0,10,0,1,2,0,4,0,0,0,1,9,1,7,0,2,0,0
"Hadramawt",3,0,21,78,3,79,19,0,23,5,8,1,0,2,2,3,11,2,58,1,35,0,11,6,22
"Hajjah",1,3,1680,444,2,11,5,0,30,0,153,1,0,20,0,5,3,4,17,0,99,0,431,0,0
"Ibb",12,1,112,113,1,68,6,0,12,1,1,6,0,5,1,0,0,2,33,0,39,1,18,4,1
"Lahij",3,4,200,258,5,38,14,0,15,0,88,3,0,10,0,2,5,1,15,0,33,1,208,5,8
"Marib",1,10,1023,570,2,16,7,0,51,0,112,0,0,9,0,1,1,0,8,0,78,0,534,0,1
"Raymah",1,0,11,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0
"Sadah",0,1,3916,944,0,93,5,0,36,0,338,1,0,40,0,3,2,2,24,0,92,0,1757,0,1
"Sanaa",2,1,1644,585,1,16,8,0,18,0,185,0,1,5,0,3,0,4,15,0,28,0,354,0,0
"Shabwah",11,7,235,300,12,34,66,0,11,7,60,2,1,10,0,2,17,2,42,1,48,0,79,1,6
"Suqutra",0,0,0,7,0,0,20,0,1,0,1,0,1,0,0,0,2,0,43,1,0,0,0,0,0
"Taizz",18,10,1502,1942,4,198,58,0,52,3,367,7,2,31,0,48,14,9,104,1,191,5,1194,0,11
